post_id,caption,hashtag,comments_count,like_count,media_type,timestamp,username,owner_id
1.78443E+16,조급해하면 안되는데 요가 하다보면왜 이것밖에 안되나 슬퍼지는..날이있져. ??그런데 이 요가팬츠 너무 편해서 깜짝 놀랐어요.ㅋparsley_kr ..#파슬리웨어#파슬리#요가복추천#요가#요가자세#운동하는여자#오하운,#파슬리웨어#파슬리#요가복추천#요가#요가자세#운동하는여자#오하운 ,24,550,FEED,2022-01-25T01:03:59+0000,10.12.16yp,1.78414E+16
1.78444E+16,소도구 #베지밀 을 이용한 요가동작으로 #활자세 를 해봤어요. #선활자세 또는 #나타라자사나 라고해요. 어렵지만; 나타는 춤을추는자 라는뜻이래요.???♀?그래서 춤을 추는 신의 자세 가 바로 선활자세라는군요:)신체균형을 유지시키고 다리근육을 고르게 강화시킬수있어요:) 요즘 힙운동이 대세던데 선활자세도 힙을 타이트하게 해줘서 힙라인에도 효과가 있다는거 ??자세포인트는 허벅지가 바닥과 평행 정강이는 바닥과 수직을 유지하는것.그리고 시선도 중요한데 시선이 무너지면 균형잡기가 정말 힘들어요ㅠ그리고 발을 안쪽에서 바깥쪽으로 잡아줘야 어깨가 열려서 동작을 할수있답니당?????♀??????♀??????♀?요가를 하면서 호흡이 정말 중요하다고 느껴요. 그래서 제 #건강한아름다움만들기 리스트에는 1.복식호흡생활화하기도 들어있어요. 2.텀블러 챙기기 (노플라스틱 아직 진행중입니다:)습관처럼 챙기는 텀블러랑 요새 운동 전이나 후에 늘 먹고는 베지밀. #칼로리컷두유 라서 운동 후에도 부담이 없고 좋더라규??3.#젠링 끼고살기 ㅋ저는 출근해서 매일 젠링해요.그래서인지 다리가 뭉치거나 붓는일이 거의없는것 같아요. 제 리스트는 계속됩니다. ㅋ 이번엔 여기까지???♀?#에너스킨레깅스 는 얇으면서도 쫀쫀해요. 요가동작할때 딱임. 다른예쁜 컬로도 많이 출시되길 바래봅니다 ??..#아메리카요가#정식품#에너스킨#엠스플뉴스#건강다이어트#정식품요가#요가#yogalove#yogalife#36가지요가자세,#베지밀 #활자세 #선활자세 #나타라자사나 #건강한아름다움만들기 #칼로리컷두유 #젠링 #에너스킨레깅스 #아메리카요가#정식품#에너스킨#엠스플뉴스#건강다이어트#정식품요가#요가#yogalove#yogalife#36가지요가자세 ,36,272,FEED,2019-06-20T09:58:56+0000,10.12.16yp,1.78414E+16
1.78445E+16,여기가 어디냐면여 #만휴정안동이에요. 제가 정말 좋아하는곳인데~곧 안동마 도 캐러갈꺼에요 ㅋ마 좋아하시는 분 디엠 ??..#여행스타그램#방구석여행#안동#love#국내여행,#만휴정안동이에요. #여행스타그램#방구석여행#안동#love#국내여행 ,0,887,FEED,2020-09-25T01:24:17+0000,10.12.16yp,1.78414E+16
1.78447E+16,공란,,27,469,FEED,2019-11-06T07:17:20+0000,10.12.16yp,1.78414E+16
1.78448E+16,ㅍㅕㅇㅎㅐㅇㅂㅗㅇㅅㅡㅇㅟㅇ ㅎㅏㄹㅅㅜㅇㅣㅆㅇㅡㄹㅈㅜㄹㅇㅏㄹㅇㅏㅆㄴㅡㄴㄷㅔㄴㅓㅁㅜ ㅁㅜㅅㅓㅇㅜㄴㄱㅓㄹㅏ ?? ㅋ??ㅋ??ㅋ??ㅅㅜㅁㅇㅡㄴㅇㅙㅋㅔㅊㅏㅁ ㅋ??ㅋ??ㅋ??예쁜 양말은 tanis_sports 디자인은 예쁜혬 hyemintheuniverse ..#ㅇㅜㄴㄷㅗㅇ#ㅇㅜㄴㄷㅗㅇㅎㅏㄴㅡㄴㅇㅕㅈㅏ#ㄷㅡㅇㅅㅏㄴ#평행봉,#ㅇㅜㄴㄷㅗㅇ#ㅇㅜㄴㄷㅗㅇㅎㅏㄴㅡㄴㅇㅕㅈㅏ#ㄷㅡㅇㅅㅏㄴ#평행봉 ,41,1023,FEED,2020-05-13T23:43:45+0000,10.12.16yp,1.78414E+16
1.78448E+16,그냥 #패요 그치만 올시즌 첫 #엘지트윈스 #응요 ??수고하셨어요 #무적엘지 ??byeonghwa.song 고마워 nbx천사 넘재밌게잘봤또ㅋㅋ 수영님 응요였어 완전 같이 응원함ㅋㅋ 꿀잼 ?? ㅋ ????..#LG트윈스#야구#야구장#불금#gotwins#cheers#dance#운동#잠실#종합운동장,#패요 #엘지트윈스 #응요 #무적엘지 #LG트윈스#야구#야구장#불금#gotwins#cheers#dance#운동#잠실#종합운동장 ,9,152,FEED,2019-05-17T12:59:37+0000,10.12.16yp,1.78414E+16
1.78454E+16,우리 bebe_chacha 윤지언니따라 다녀온 아티스트 간지님의 ganz80 #vyvydstudio ?? #비비드스튜디오.작품들도 진짜 멋지고 스튜디오도 정말 예뻤어요.#yogaforyourself 진짜간지 ??????감사합니다..이날 핑크 화이트로 맞췄는데 날이 추워져서 커버업으로 입은 #스컬피그 가디건 :) 핏이 취저.겨울맞아 스컬피그에서 집업후리스 도 나왔는데 블랙간지 ㅋ 진짜 따뜻하게 하루 보냈어요.??..사진맛집 photo by ganz80 forget_me_not_91 간지님 상준님 사진 진짜 예술이에요????..#사진그램#요가복#필라테스복#skullpig#레깅스#에슬레저룩#스컬피그엠버서더#운동하는여자#운동,#vyvydstudio #비비드스튜디오.작품들도 #yogaforyourself #스컬피그 #사진그램#요가복#필라테스복#skullpig#레깅스#에슬레저룩#스컬피그엠버서더#운동하는여자#운동 ,35,908,FEED,2019-11-17T23:51:40+0000,10.12.16yp,1.78414E+16
1.78456E+16,#건강한아름다움만들기 1기 활동이 모두 끝났어요. 엄청난혜택과 지원을 받으면서 요가를 할수있는 2기모집은 10월!곧모집할거라고 합니다. ??사진은 #아메리카요가앰버서더 로 초대받았던 #최고의아침 에서 찍은 사진인데 118층 #서울스카이 에서 진행되는 요가클래스에요.?????♀?지금 아메리카요가에서 최고의 아침을 무료로 참여할수있는 댓글 태그이벤트중.americayoga_official ??여기 들어가셔서 게시물에 댓글로 함께가고픈 친구만 태그하시면 되요. 그리구 2기모집전에 미리 팔로우해두시면 좋겠죠?꼭요가자세가 아니어도 예쁜사진 많이 남길수있는 기회 놓치지 말기! 한시적으로 운영중이니까요...제가입고있는 상하의는 다 #안다르 인데 정말예뻐요. 레깅스는 완전화이트는 아니고 오프화이트느낌.매쉬부분이 사선으로 허벅지랑 종아리 가로질러있어서 너무 예쁘구 허리랑 배도 꽉 잡아줍니다:)..#아메리카요가#요가#yoga#gymlooks#yogaposes#몸매관리#운동#정식품#멀티밸런스#split#운동하는직장인#에너스킨#엠스플뉴스#중앙선데이#36가지요가자세#밋더핏걸,#건강한아름다움만들기 #아메리카요가앰버서더 #최고의아침 #서울스카이 #안다르 #아메리카요가#요가#yoga#gymlooks#yogaposes#몸매관리#운동#정식품#멀티밸런스#split#운동하는직장인#에너스킨#엠스플뉴스#중앙선데이#36가지요가자세#밋더핏걸 ,0,3830,FEED,2019-09-09T23:54:21+0000,10.12.16yp,1.78414E+16
1.78458E+16,에휴 한오백개 했더니 힘드네 ㅋㅋㅋ??ㅋ??ㅋ??ㅋ??멜킨신상 #스쿼트머신 ..#휴일#운동#운동하는여자#홈트#멜키너#운스타그램#헬린이#운동영상,#스쿼트머신 #휴일#운동#운동하는여자#홈트#멜키너#운스타그램#헬린이#운동영상 ,77,1089,FEED,2020-05-05T09:35:15+0000,10.12.16yp,1.78414E+16
1.78459E+16,언박싱하고 조립해놓고 신나서 걸어봅니다. 담엔 운동화 신고 제대로 운동해볼께요:) #멜킨 최고????..#운동#운동하는여자#워킹머신#멜킨스포츠,#멜킨 #운동#운동하는여자#워킹머신#멜킨스포츠 ,21,778,FEED,2020-07-23T02:38:21+0000,10.12.16yp,1.78414E+16
